Isoform,Gene ID,Gene name,TPM (median),TPM (Q1),TPM (Q3)
c341a0c6-077a-4cd4-bdd5-5706b4b97dd8,ENSG00000166278,C2,6,1,5,8,7,2
d2cbabfc-52df-4f10-90cd-95f6dd88c46e,ENSG00000166278,C2,6,0,5,7,6,2
20a25c56-233e-4163-99c1-acce90482240,ENSG00000244731,C4A,80,8,67,0,131,3
33939ffb-e0a5-4ae1-9f3c-b378585b413a,ENSG00000244731,C4A,8,6,7,0,11,8
432be962-7364-47d8-a14a-f7e4efa931e2,ENSG00000244731,C4A,13,9,9,9,14,5
47de24e0-0e89-4af9-8584-6edd9c282553,ENSG00000244731,C4A,7,5,6,0,8,6
5aa6e186-5149-4519-abcb-a00acd1903ae,ENSG00000244731,C4A,26,9,23,3,37,7
ENST00000428956.7,ENSG00000244731,C4A,24,5,7,6,28,9
bdf44883-4412-4c37-8cf7-6b6228add2f1,ENSG00000244731,C4A,6,8,5,9,8,3
211743e8-0a31-47d6-b762-120a67d07885,ENSG00000224389,C4B,179,8,103,9,215,1
2cb0acc1-2f02-473a-aa7d-8bad095d8959,ENSG00000224389,C4B,6,0,5,9,6,0
373e8cfa-78a1-47bc-b46f-67b37222a8fa,ENSG00000224389,C4B,16,7,12,1,18,4
51d09079-4416-4665-a1a5-80c62828c6b6,ENSG00000224389,C4B,7,5,6,4,11,3
64d56a57-bd4d-4ca9-adc5-5b98141ec020,ENSG00000224389,C4B,8,8,7,5,10,2
67a75d63-06d0-475a-b936-7cb9df8e7d9f,ENSG00000224389,C4B,33,1,16,9,48,6
6e356541-5c46-4594-98c2-a89d41199709,ENSG00000224389,C4B,10,2,7,8,12,6
ENST00000435363.7,ENSG00000224389,C4B,95,9,55,2,162,4
a52c0c35-bcd0-4918-a9f5-6cb08a2a5b11,ENSG00000224389,C4B,6,1,6,1,6,1
bbaccf09-b831-4ffc-b224-b081b993747b,ENSG00000224389,C4B,6,0,5,7,6,3
bd81839a-1fc9-4f29-b405-d746a2462f69,ENSG00000224389,C4B,21,6,16,5,30,8
cd4d9303-374b-467b-a7f0-d3c025d84b0d,ENSG00000224389,C4B,6,4,5,9,7,0
f461a188-ab60-4819-be86-dddc868d6bbc,ENSG00000224389,C4B,6,1,5,8,7,5
f670780b-ea0e-4ade-8a9e-3a37b660137c,ENSG00000224389,C4B,8,0,5,8,9,7
f7f1d5f9-bb69-44f1-bf68-f0837a431fe9,ENSG00000224389,C4B,15,0,12,2,16,6
582e2cf4-7547-4dae-85f6-97c3a74d13c7,ENSG00000204439,C6orf47,6,2,5,8,7,1
ENST00000587175.1,ENSG00000105298,CACTIN,6,0,5,7,8,6
35e2dffe-f289-4eb6-807f-201da170639d,ENSG00000188820,CALHM6,19,4,12,3,43,3
ENST00000461311.1,ENSG00000171735,CAMTA1,6,1,5,9,7,4
ENST00000473578.5,ENSG00000171735,CAMTA1,39,5,22,0,57,3
ENST00000476163.5,ENSG00000171735,CAMTA1,5,9,5,8,6,6
ddbd9749-87c5-4388-9fbe-b022bf9919da,ENSG00000171735,CAMTA1,5,8,5,5,6,0
ee86e7e6-3e87-46fe-b130-da54df27ec8a,ENSG00000171735,CAMTA1,12,8,11,7,13,9
d41a8e59-72bb-42e1-a762-73fce0e69a1b,ENSG00000156017,CARNMT1,14,1,11,7,27,3
ENST00000644219.1,ENSG00000147044,CASK,13,6,10,1,16,0
ENST00000304141.5,ENSG00000168497,CAVIN2,35,5,19,8,65,1
ENST00000290349.11,ENSG00000159228,CBR1,246,0,202,1,338,8
ENST00000617445.5,ENSG00000024862,CCDC28A,40,2,21,1,53,1
ENST00000455220.6,ENSG00000137500,CCDC90B,5,8,5,7,6,1
ENST00000525503.5,ENSG00000137500,CCDC90B,24,0,14,1,36,9
ENST00000529689.6,ENSG00000137500,CCDC90B,22,8,11,9,29,0
ENST00000613922.2,ENSG00000277632,CCL3,43,5,13,3,71,1
ENST00000367976.4,ENSG00000118523,CCN2,13,9,9,7,23,1
ENST00000374704.8,ENSG00000108100,CCNY,23,9,19,9,30,9
ENST00000263398.11,ENSG00000026508,CD44,22,5,12,3,32,0
ENST00000263645.10,ENSG00000110651,CD81,457,9,386,1,569,4
f0354700-10ec-40f4-8c58-b0a2fae8a09d,ENSG00000110651,CD81,7,5,6,2,8,0
ENST00000656825.1,ENSG00000070831,CDC42,75,1,57,8,83,0
7e71f9bd-e347-4376-accd-cf5708c0dd2f,ENSG00000107736,CDH23,8,6,7,1,11,7
ENST00000397588.8,ENSG00000153046,CDYL,7,5,6,6,11,5
352fd8c5-d53b-43b4-872b-60922dcc2690,ENSG00000172216,CEBPB,282,2,266,6,298,4
b8320a06-bdaf-49b4-a89b-92fc38ea61b9,ENSG00000048740,CELF2,8,6,7,5,11,6
ENST00000299572.9,ENSG00000166451,CENPN,10,7,8,4,12,3
28d99e87-71a3-4f97-9dc9-9a1424f6c69f,ENSG00000126001,CEP250,6,4,6,1,7,6
ENST00000309955.8,ENSG00000003402,CFLAR,6,6,6,4,7,6
ENST00000341222.10,ENSG00000003402,CFLAR,11,5,6,1,16,3
ENST00000423241.6,ENSG00000003402,CFLAR,6,1,6,0,9,7
ENST00000461820.5,ENSG00000003402,CFLAR,7,1,6,2,9,9
f864261c-8eba-4491-9234-1b8b445fc21d,ENSG00000003402,CFLAR,6,4,5,9,12,1
